Keyword	Avg. monthly searches	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Searches: Mar 2022	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023	Searches: Apr 2023	Searches: May 2023	Searches: Jun 2023	Searches: Jul 2023	Searches: Aug 2023	Searches: Sep 2023	Searches: Oct 2023	Searches: Nov 2023	Searches: Dec 2023	Searches: Jan 2024	Searches: Feb 2024	Searches: Mar 2024	Searches: Apr 2024	Searches: May 2024	Searches: Jun 2024	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
system dynamics modeling	480	Low	4	1.047246	20	590	590	590	480	590	590	590	720	720	590	880	720	880	880	590	480	480	590	590	720	720	590	720	590	590	590	590	480	480	480	590	590	720	480	590	590	590	590	590	390	390	390	480	590	590	480	480	590
system dynamics modeling examples	50	Low	5			70	40	50	50	40	30	30	70	50	50	90	90	90	70	70	50	40	50	70	110	110	70	110	110	110	90	90	90	70	70	140	140	140	90	90	70	110	70	70	50	50	30	50	50	50	40	50	50
system dynamics modeling tools for learning in a complex world	20	Low	11			10	10	10	10	10	20	20	30	20	10	30	20	10	20	20	20	10	20	70	70	30	20	30	20	20	10	10	10	10	20	30	10	10	10	10	10	10	10	30	10	10	10	20	10	20	10	20	30
system dynamics review	260	Low	3	14.33	20	260	210	210	260	260	320	320	320	210	210	260	210	260	260	260	260	260	260	390	260	320	260	320	390	320	210	320	320	320	260	260	260	210	260	320	320	320	260	210	210	260	210	210	260	260	210	320	260
system dynamics society	390	Low	7	15.45	20	590	390	480	390	590	480	390	390	390	390	480	480	480	480	480	480	590	390	390	480	390	390	590	480	590	480	590	480	480	480	390	480	390	480	590	480	480	480	480	480	390	480	390	390	320	320	390	390
system dynamics tools	30	Low	11	0.83	20	40	40	50	40	50	70	40	40	40	40	70	50	70	30	40	50	40	50	40	70	50	30	40	50	70	50	40	40	30	50	50	50	40	50	40	40	40	40	40	40	40	20	30	30	40	20	30	20
system dynamics training	10	Medium	40	0.264389	3.688473	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	20	20	10	10	10	20	10	10	10	20	10	20	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10
system emergence	10	Low				30	20	40	20	20	20	20	10	30	10	20	30	20	20	10	20	20	20	30	20	10	10	30	30	20	10	10	20	20	10	10	20	20	20	10	10	10	10	10	10	10	10	20	20	10	10	10	10
system engineer courses	1600	Medium	38	0.56892	5.24	1600	1600	1900	1900	1900	1900	1900	1900	1600	1600	1900	1900	1900	1900	2400	1900	1900	1900	1900	1900	1600	1600	2400	1900	1900	1900	2400	2400	5400	2900	1900	1600	1600	1600	2400	1600	1600	1600	1600	1600	1600	1600	1300	1300	1000	1300	1600	1600
system engineering course online	210	Low	32	0.988953	8.105426	260	260	320	320	320	260	210	210	260	210	210	210	260	210	210	260	210	260	210	210	210	210	260	260	170	260	260	170	170	210	320	880	480	170	260	260	210	320	390	390	260	170	210	140	140	140	170	260
system performance	1600	Low	4	0.190136	3.6	1900	1900	1900	1600	1600	1900	1900	1900	1900	1900	1900	1900	1900	1600	1600	1600	1600	1600	1600	1900	1600	1600	1900	1900	2400	1900	1900	1600	1900	1600	1900	1900	1900	1600	1900	1600	1900	1600	1600	1900	1900	1600	1600	1600	1600	1600	1600	1600
system theory course	30	Low	22	0.38	6.5	20	30	30	30	20	40	40	30	30	30	40	20	50	30	30	30	40	20	20	20	40	20	30	50	20	30	30	20	30	10	30	30	10	20	20	30	20	20	20	20	20	20	20	30	40	30	30	50
system think	40500	Low	11	0.373061	4	49500	40500	40500	40500	33100	40500	49500	49500	40500	33100	40500	40500	49500	40500	40500	33100	33100	40500	49500	49500	40500	33100	49500	40500	40500	40500	40500	33100	33100	33100	40500	40500	33100	27100	40500	33100	40500	40500	40500	33100	33100	40500	40500	40500	40500	33100	40500	40500
system thinking course	1000	Medium	50	0.6	6	720	720	880	720	880	880	880	880	880	720	880	720	1000	880	880	720	720	880	1000	880	880	880	1000	1000	880	1000	880	1000	1600	1000	1600	1000	1300	1000	1300	880	880	1000	880	880	1000	1000	1300	1000	880	880	1000	1000
system thinking course singapore	40	High	73	0.856748	4.143103	50	20	50	30	20	30	20	30	30	30	40	20	70	30	50	40	30	40	70	30	30	10	20	50	70	40	20	30	50	30	40	20	20	40	30	30	40	30	20	30	40	30	40	50	40	30	20	30
system thinking coursera	20	Medium	38	0.209175	4.029762	20	10	10	10	20	10	20	10	10	10	20	10	30	10	10	20	10	20	30	20	20	20	20	20	10	10	10	10	20	20	20	10	20	10	20	10	20	20	20	10	20	30	20	20	10	30	10	20
system thinking definition	4400	Low	3	0.041221	4	6600	5400	5400	4400	4400	5400	6600	6600	5400	4400	5400	6600	5400	5400	5400	4400	3600	5400	5400	5400	4400	3600	5400	5400	4400	4400	4400	3600	3600	4400	5400	5400	4400	2900	4400	4400	4400	4400	4400	3600	3600	4400	5400	4400	4400	3600	4400	4400
system thinking design	480	Low	19	0.83	4	590	590	590	480	590	590	590	590	590	480	590	590	590	480	480	390	390	390	480	590	590	480	590	590	590	590	480	390	390	480	480	480	390	390	590	590	480	480	480	390	480	390	590	480	480	390	480	480
system thinking examples	1000	Low	1	0.39	5.958078	2900	2400	2400	1900	1600	2400	3600	2900	2900	1900	2900	2900	2900	2400	2400	1900	1600	2400	2900	2900	2400	1600	2400	2400	2400	1900	1900	1300	1300	1300	1900	1600	1300	1000	1300	1300	1300	1000	1000	880	880	880	1300	1000	880	880	1000	1000
system thinking online course	70	Medium	56	0.623448	6	110	70	90	50	70	70	70	70	70	70	50	50	90	90	90	50	90	50	90	90	90	90	90	70	40	70	50	70	70	30	90	40	30	50	40	50	70	70	50	70	50	70	40	50	70	70	50	70
system work training	30	Low	16			10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	40	30	30	30	20	30	20	40	30	30	20	30	20	10	20	20	20	10	10	30	30	30	40	50	40	40	20	30	10	10	10
systems architecture course	260	Medium	57	0.394171	3.18	210	170	210	210	170	260	210	210	210	210	210	210	260	210	260	210	260	260	210	260	260	210	320	320	320	260	260	260	260	210	210	210	260	210	260	260	260	260	210	210	260	260	260	210	210	260	320	320
systems course	260	Low	14	0.428999	2.657684	320	320	320	320	320	210	260	320	320	260	320	260	320	320	320	320	320	260	320	320	320	210	320	320	320	320	260	390	320	210	320	320	260	320	260	260	320	320	260	260	210	170	210	210	170	210	210	210
systems design engineering	2400	Low	7	1.04592	21.776114	2400	2400	2400	1900	1900	2400	2400	2400	2400	1900	2400	2400	2400	1900	2400	1900	1900	1900	2400	2900	2400	2400	2900	2900	2900	2400	2900	2400	2400	2400	2400	2400	2400	2400	2900	2400	2400	2400	2400	1900	1900	1900	2400	2400	1900	1900	2400	1900
systems dynamics	5400	Low	3	0.409019	20	6600	6600	6600	5400	9900	8100	6600	8100	8100	6600	6600	6600	8100	6600	6600	6600	5400	6600	6600	6600	8100	8100	8100	8100	6600	6600	6600	6600	5400	6600	12100	9900	8100	8100	8100	8100	6600	6600	5400	5400	5400	4400	5400	5400	5400	4400	5400	4400
systems engineering course mit	10	Low	22			30	50	30	30	30	20	20	30	20	40	30	40	30	30	30	20	10	30	10	20	10	10	20	10	10	10	10	10	20	10	30	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10
systems engineering masters	1000	Medium	59	2.122249	15.43	720	720	720	720	590	880	720	720	720	720	880	720	880	880	880	880	880	1000	880	1000	880	720	1000	1000	1000	1000	1300	1900	1000	1000	1900	1300	1600	1000	1900	1000	1600	1300	1000	880	880	880	720	880	720	720	1000	880
systems engineering process steps	40	Low	4			110	90	70	50	50	70	70	50	50	40	70	90	90	110	90	50	50	40	50	10	40	20	50	40	40	50	30	40	30	30	30	30	20	10	70	110	70	50	170	30	20	20	30	10	10	10	10	10
systems engineering training courses	40	Medium	44	0.68	3.988047	40	40	30	20	40	50	50	40	50	40	30	40	50	20	40	30	50	50	50	70	40	40	50	40	40	70	70	40	70	40	40	40	50	30	30	50	40	20	40	30	30	50	50	40	50	40	70	50
systems science masters	10	Low	23	0.489963	6.29	10	10	10	30	10	20	10	10	10	10	10	10	20	10	20	10	10	40	40	10	20	20	20	10	20	50	20	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10
systems thinking and system dynamics	10	Low	19			10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10
systems thinking application	10	Low	4			70	20	20	30	20	30	40	40	30	20	20	20	20	20	10	20	10	10	20	20	30	20	20	30	20	20	30	10	20	10	20	20	10	10	10	20	20	10	20	10	20	10	10	10	10	10	10	10
systems thinking approach	1300	Low	5	0.19	17.193078	1900	1900	1600	1600	1600	1600	1600	1900	1900	1600	1900	1900	1900	1900	1900	1600	1600	1900	1900	1900	1600	1000	1300	1300	1300	1600	1300	1300	1000	1300	1600	1600	1600	1000	1300	1300	1300	1300	1300	1300	1300	1000	1600	1300	1300	1000	1000	1300
systems thinking certification	210	Medium	38	1.453707	6.22897	170	260	210	210	210	210	170	210	170	170	210	170	260	210	210	210	170	170	170	170	210	210	140	170	210	210	140	140	140	140	140	210	480	140	210	170	170	210	170	170	210	260	210	170	210	170	260	260
systems thinking certification program	20	Medium	54	1.44	7.411966	20	30	30	20	10	20	10	20	10	10	10	10	10	20	40	10	10	10	0	10	10	10	10	40	40	20	10	10	20	10	10	20	10	10	20	20	20	10	30	10	20	10	10	20	20	20	30	30
systems thinking class	10	Medium	52	2.51	8.05	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	10	10	20	10	20	10	10	10	10
systems thinking course harvard	40	Medium	46	0.68	4.526828	50	50	50	70	70	90	70	70	50	70	70	50	70	50	40	50	40	40	40	70	40	40	40	30	50	30	30	30	40	40	30	20	20	30	20	50	50	50	50	40	40	40	40	40	50	30	40	40
systems thinking course mit	10	Medium	54	0.666621	2.27	10	10	20	20	20	20	10	10	10	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	20	10	10	10	10	10
systems thinking course online	30	Medium	34	0.66	6	20	20	30	40	50	30	20	30	20	20	20	10	30	10	20	10	20	20	30	30	30	20	40	20	20	30	40	30	20	20	20	20	10	20	10	10	20	20	20	20	30	30	30	20	30	30	20	40
systems thinking course syllabus	10	Low	5			10	10	10	10	10	10	10	10	10	30	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	0	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
systems thinking education	170	Low	11	1.52	8.759825	260	260	210	170	210	210	260	320	320	210	260	260	260	210	260	210	170	210	260	210	260	170	260	260	260	260	210	210	170	170	170	210	170	170	140	170	170	210	170	210	210	210	210	140	140	140	170	140
systems thinking for social change	590	High	74	0.253587	3.785961	590	480	390	390	390	480	590	480	480	480	480	590	480	480	480	390	390	590	480	480	480	480	720	720	590	590	590	720	480	590	720	720	590	590	880	590	720	590	590	480	720	590	590	590	590	480	590	590
systems thinking free online course	10	Low	10			10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	20	30	20	20	10	20	10	10	10	10	10	0	10	10	10	10	10	40	10	10	10	10	10	10	10	10	10	20
systems thinking in business	170	Low	20	0.723159	4	390	320	320	260	260	320	480	480	320	260	320	320	320	260	260	170	170	260	260	260	260	170	260	260	260	260	210	210	210	170	260	260	210	140	210	170	210	210	170	210	170	210	260	210	170	110	170	170
systems thinking in healthcare	320	Low	4	1.09172	4.383958	590	480	590	480	480	480	590	720	590	480	590	720	720	590	590	480	390	480	590	720	590	480	590	590	590	720	480	390	390	390	480	480	390	320	390	480	390	320	390	320	260	260	390	320	260	210	260	260
systems thinking in practice	90	Medium	35	0.85775	4	70	70	40	70	50	50	70	70	90	50	50	90	90	90	70	90	70	70	70	50	70	70	90	90	110	90	110	70	90	70	70	70	70	50	90	70	90	70	70	70	70	90	210	90	70	70	90	70
systems thinking leadership	170	Low	28	1.353384	4.76	320	210	260	210	210	210	260	260	260	210	210	210	260	260	260	210	210	170	210	260	210	170	260	260	260	260	210	170	140	140	170	210	210	140	210	170	210	210	210	210	210	140	170	170	210	170	170	210
systems thinking mooc	10	Medium	45	0.299312	3.164131	10	20	10	10	10	10	10	20	10	10	20	10	10	20	30	10	10	10	40	10	10	30	10	20	10	10	10	0	10	10	10	10	10	10	10	20	20	10	10	20	10	10	10	10	10	10	20	10
systems thinking network	10	Low	3			10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	20
systems thinking pdf	590	Low	9	0.553156	1.88	590	390	480	590	480	590	590	590	590	590	480	590	590	480	480	390	480	590	590	590	590	720	720	720	720	590	590	480	480	480	480	590	480	480	590	590	590	480	480	590	480	720	590	480	480	480	480	480
systems thinking phd	70	Low	9	1.426435	8.76415	70	70	70	70	70	70	90	140	90	70	70	70	90	70	90	90	70	70	70	70	90	110	110	50	110	110	110	50	70	50	70	110	90	70	90	70	70	70	90	70	50	50	70	90	70	40	110	90
systems thinking playbook pdf	20	Low	5			20	30	30	30	30	20	40	30	40	20	40	30	20	20	30	30	10	20	40	30	40	20	20	20	20	20	20	50	30	20	10	10	30	10	20	10	30	20	20	30	20	10	10	10	10	10	10	10
systems thinking practitioner	50	Low	33	1.34	5.447624	50	50	50	70	30	30	50	50	50	40	50	50	40	50	50	70	70	50	40	70	50	50	50	50	50	50	70	50	70	40	70	70	50	40	50	70	50	30	50	50	50	70	70	70	50	40	30	40
systems thinking research	20	Low	11			20	30	20	20	30	30	10	20	20	20	20	30	30	20	30	20	10	20	20	20	30	10	40	20	20	30	30	30	20	20	20	30	20	10	20	30	10	20	20	20	30	10	10	20	30	10	30	20
systems thinking short course	10	Medium	47	1	6	10	10	10	20	20	10	20	10	10	30	10	30	20	20	10	10	10	20	30	20	20	10	20	30	10	20	20	10	20	20	20	20	10	20	20	20	20	10	10	20	10	10	30	10	10	10	20	20
systems thinking stanford	10	Medium	43	0.259999	4	40	30	20	10	20	20	10	10	10	10	20	10	10	20	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
systems thinking systems practice	140	High	74	0.360403	3.886541	140	140	140	110	140	170	170	140	110	110	110	140	140	140	140	110	110	110	110	210	210	140	170	170	170	170	210	140	140	140	170	170	170	90	170	140	140	140	140	140	110	140	140	170	170	110	210	170
systems thinking training	210	Medium	43	1.555995	6	170	170	170	170	170	170	170	210	170	140	210	170	260	140	210	210	210	260	210	260	210	260	320	320	390	390	320	210	260	210	210	210	320	320	590	210	210	170	210	210	210	210	210	210	210	140	210	320
systems thinking workshop	50	Medium	38	0.816601	6	90	70	70	90	70	50	50	90	70	50	70	90	90	90	110	90	110	70	90	110	110	70	140	90	70	90	90	70	70	50	50	70	50	40	40	70	50	50	50	70	50	40	70	50	40	50	70	90
tech courses online	2900	Low	26	0.892329	19.884204	2400	2900	5400	12100	1300	1300	1300	1300	1300	1000	1300	1000	1300	1300	1300	1300	1900	1600	4400	1600	2400	6600	5400	2400	2900	6600	5400	1600	1000	1300	1300	1300	1900	1900	2400	1600	2400	2400	1900	2400	2400	2400	3600	3600	2900	2400	3600	1600
tech short courses	70	Medium	64	0.356627	2.24	10	20	20	10	20	10	10	20	10	10	20	20	20	20	50	50	50	40	30	50	50	50	90	50	70	70	70	70	70	70	70	70	70	40	90	90	70	50	110	50	50	40	50	50	70	50	110	50
tech skills to learn	1300	Medium	36	0.03047	0.68	590	590	720	590	880	1000	880	720	720	880	1600	1300	1600	1600	1900	1900	2400	1900	1900	1900	1900	1900	2900	2400	1900	1900	2400	1900	1900	1900	1900	2400	1900	1900	2400	1600	1900	1600	1600	1600	1600	1300	1300	1000	880	880	1000	720
technical architecture courses	110	Low	14	0.489848	2.34	170	140	140	210	170	170	210	140	140	140	170	140	170	210	170	210	170	210	170	170	170	170	170	170	170	170	210	210	320	210	170	140	140	110	170	140	170	140	140	110	90	70	70	70	70	90	90	260
technical problem solving	320	Low	1			480	320	390	320	320	320	480	390	390	320	480	390	390	390	320	320	260	320	320	390	390	210	390	480	480	390	320	320	320	320	320	320	320	260	480	320	390	390	260	260	260	320	320	320	260	210	320	320
technical product management	590	Low	19	0.624939	6.534936	880	720	720	720	880	720	720	880	720	720	880	720	880	720	880	720	720	720	720	720	720	720	880	880	880	720	720	590	720	720	720	720	720	590	720	590	720	880	590	590	480	480	590	590	480	390	480	590
technical product manager training	40	Low	19	3.11	9.97	70	70	70	70	50	70	40	50	50	70	50	50	50	40	70	50	70	70	50	70	70	40	70	70	50	40	70	40	50	70	50	70	30	30	40	40	50	40	30	40	50	30	50	40	20	20	30	110
technical program management	6600	Low	9	0.370836	6.92731	12100	9900	12100	9900	9900	9900	9900	9900	8100	6600	9900	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	6600	9900	9900	8100	8100	9900	8100	8100	8100	8100	8100	6600	6600	8100	8100	8100	6600	6600	6600	6600	6600	6600	6600	5400	5400	6600	6600
technical program management courses	70	Medium	64	1.084641	8.54	90	50	50	70	50	70	90	50	70	70	50	50	70	70	50	70	70	70	70	90	50	50	110	50	70	40	70	110	90	90	110	50	40	70	70	90	90	110	70	50	40	70	50	70	90	70	90	50
technical project management	6600	Low	11	0.317579	4.79758	8100	8100	8100	8100	8100	8100	8100	8100	6600	6600	8100	8100	8100	8100	8100	6600	6600	8100	6600	8100	6600	6600	9900	8100	8100	8100	8100	8100	6600	6600	6600	6600	6600	5400	6600	6600	8100	6600	6600	5400	6600	5400	6600	6600	5400	4400	6600	6600
technical project management courses	210	Low	23	1.082848	7.06944	260	210	170	210	210	170	210	210	170	170	210	210	210	210	170	210	210	210	170	260	170	140	260	170	210	210	320	210	210	210	210	260	210	170	210	260	390	260	320	260	210	110	140	170	110	110	210	480
technical project manager training	210	Low	23	1.082848	7.06944	260	210	170	210	210	170	210	210	170	170	210	210	210	210	170	210	210	210	170	260	170	140	260	170	210	210	320	210	210	210	210	260	210	170	210	260	390	260	320	260	210	110	140	170	110	110	210	480
technology workshops near me	70	Medium	40	0.370805	7.942174	20	30	30	30	30	30	50	20	40	20	50	50	70	40	50	30	50	40	50	50	50	50	50	70	70	70	90	90	70	70	70	50	70	70	70	50	70	70	70	70	70	50	70	70	70	70	70	40
the iceberg model of systems thinking	30	Low	1			10	10	10	10	10	10	20	20	40	30	30	40	50	70	40	40	20	20	30	40	40	40	50	50	50	40	30	20	10	10	20	20	20	20	30	20	20	20	30	40	20	20	20	50	30	10	50	30
the odin project	60500	Low	10	0.366455	4.109169	74000	74000	90500	110000	90500	110000	90500	90500	90500	74000	90500	74000	74000	60500	74000	74000	90500	90500	74000	90500	74000	74000	74000	74000	60500	60500	74000	74000	90500	74000	74000	74000	60500	60500	74000	60500	74000	60500	74000	74000	74000	74000	60500	60500	49500	49500	60500	49500
the systems thinker	390	Low	32	0.179433	3.54811	590	720	880	480	720	390	390	480	720	590	720	590	390	390	390	590	590	720	590	590	720	880	880	880	590	590	590	590	480	320	390	480	320	320	480	390	880	390	320	320	390	320	480	390	320	480	390	320
the v model systems engineering	40	Low	7			30	10	20	20	10	20	30	20	20	10	20	30	40	20	40	20	40	40	30	50	30	10	30	30	30	30	20	20	30	20	50	20	40	30	30	50	40	30	40	40	20	20	50	30	50	20	50	50
think in systems	880	Medium	60	0.071369	1.930161	260	170	210	320	260	320	260	320	390	320	320	260	320	260	260	260	320	720	390	320	320	390	390	320	390	390	390	390	390	480	390	390	480	390	1900	880	720	880	720	1000	720	880	880	880	880	880	1000	880
thinking in systems a primer	18100	Medium	55	0.131543	1.648348	6600	6600	8100	12100	8100	8100	8100	8100	9900	9900	9900	8100	8100	6600	6600	8100	8100	27100	9900	9900	9900	9900	12100	9900	9900	8100	8100	8100	12100	9900	9900	9900	12100	12100	49500	22200	14800	18100	14800	22200	14800	18100	14800	14800	14800	18100	22200	22200
thinking in systems donella meadows	18100	Medium	55	0.131543	1.648348	6600	6600	8100	12100	8100	8100	8100	8100	9900	9900	9900	8100	8100	6600	6600	8100	8100	27100	9900	9900	9900	9900	12100	9900	9900	8100	8100	8100	12100	9900	9900	9900	12100	12100	49500	22200	14800	18100	14800	22200	14800	18100	14800	14800	14800	18100	22200	22200
thinking in systems pdf	1900	Low	4	0.24	1.38	480	590	590	720	590	720	720	590	880	720	880	590	720	590	590	720	720	2400	1000	1000	880	1000	1300	880	880	880	880	1000	1600	1000	1000	880	1000	1000	6600	2400	1600	1900	1300	2900	1600	2400	1600	1600	1600	1600	2400	2400
thinking in systems summary	210	Low	10	0.424938	1.450394	210	170	170	210	210	210	260	260	320	260	390	260	260	210	170	170	210	590	260	260	260	210	320	260	210	210	210	210	210	210	210	210	210	210	880	320	320	320	210	260	170	170	170	170	140	170	170	140
thinking skills	4400	Low	7	0.137479	2.352844	9900	8100	9900	8100	5400	6600	9900	8100	8100	6600	8100	8100	9900	6600	8100	6600	6600	6600	8100	8100	6600	5400	6600	6600	8100	8100	8100	5400	5400	5400	6600	5400	5400	3600	4400	5400	5400	5400	5400	4400	3600	5400	5400	4400	4400	3600	4400	4400
thinking skills questions	170	Low	11			210	140	170	170	210	210	210	170	170	170	320	170	260	320	210	90	140	140	140	170	210	110	170	170	140	260	170	140	170	140	140	110	170	140	170	170	170	260	170	210	140	140	170	110	140	110	140	140
togaf course	1600	Medium	51	1.177307	6.713948	1600	1300	1600	1300	1600	1900	1600	1600	1600	1300	1600	1600	1900	1600	1900	1600	1600	1600	1600	1900	1900	1600	1900	2400	1900	1900	1900	1600	1900	1900	1900	1600	1600	1600	1900	1900	1900	1900	1900	1600	1600	1300	2900	1300	1300	1000	1600	1600
training for critical thinking	880	Low	21	0.713239	4.597983	880	720	880	720	720	880	720	720	880	590	880	880	880	880	720	720	720	720	720	880	880	720	1000	880	880	880	880	880	880	880	720	880	1600	1000	1300	880	1000	1000	1300	880	720	720	720	880	720	590	720	880
training program management	720	Medium	43	2.118594	10.203668	1000	880	880	880	880	1000	880	880	880	720	1000	1000	1000	880	1000	880	880	880	880	880	880	880	1000	880	880	1000	1000	1300	1300	1000	2900	2400	1000	720	880	1000	1000	880	720	590	590	480	720	480	390	480	590	720
tvet colleges offering project management	50	Medium	37	0.679293	1.20231	110	110	140	90	90	110	90	90	110	50	170	90	70	50	70	70	50	70	30	70	40	30	110	50	70	50	70	70	70	40	50	30	20	30	90	70	70	50	70	70	70	50	70	50	30	20	90	40
udemy	5000000	Low	29	0.099186	0.614208	7480000	6120000	6120000	6120000	7480000	7480000	7480000	6120000	7480000	6120000	7480000	6120000	7480000	6120000	6120000	6120000	6120000	6120000	6120000	6120000	6120000	5000000	7480000	6120000	6120000	5000000	6120000	6120000	6120000	6120000	6120000	6120000	5000000	5000000	6120000	5000000	6120000	5000000	5000000	5000000	6120000	5000000	5000000	5000000	5000000	4090000	5000000	4090000
udemy coursera	4400	Low	17	0.197582	2.54	720	590	720	720	720	1000	720	720	720	720	880	720	720	880	880	880	880	880	880	880	1000	1000	1000	1000	1000	1000	1300	1000	1300	1300	1300	1600	1300	1300	1600	1600	1900	1300	1300	1300	1300	1000	1600	1000	1000	27100	6600	2900
udemy courses	135000	Medium	40	0.121989	1.381405	74000	60500	135000	165000	201000	201000	165000	165000	201000	165000	246000	201000	201000	201000	201000	201000	201000	201000	74000	74000	90500	49500	110000	165000	135000	135000	135000	201000	201000	165000	165000	165000	165000	165000	201000	165000	165000	165000	201000	165000	165000	135000	135000	135000	135000	135000	165000	135000
udemy edx	90	Medium	39	0.19	1.995341	70	70	50	50	70	70	70	90	70	70	70	90	90	110	170	110	110	140	110	140	110	70	110	90	90	90	110	70	110	70	90	110	70	110	110	110	110	110	110	90	90	70	90	70	70	50	90	50
udemy online courses	27100	Low	18	0.099611	1.19	5400	4400	5400	6600	8100	8100	8100	8100	8100	6600	8100	8100	8100	6600	6600	6600	8100	8100	12100	5400	3600	4400	8100	5400	6600	6600	8100	6600	8100	8100	6600	6600	6600	6600	8100	8100	9900	14800	14800	18100	135000	74000	8100	8100	8100	8100	9900	14800
university of kwazulu natal	33100	Low	8	0.103214	0.737278	22200	22200	27100	22200	22200	22200	22200	18100	14800	12100	40500	27100	27100	27100	27100	22200	22200	22200	22200	22200	14800	12100	40500	27100	27100	33100	33100	27100	27100	27100	27100	22200	18100	18100	90500	49500	49500	40500	33100	27100	33100	33100	40500	33100	27100	14800	74000	33100
university of technology pretoria	260	Low	11	0.173889	0.782831	170	170	210	170	210	260	260	170	210	70	480	170	170	210	210	170	170	170	140	170	110	90	590	210	170	260	260	170	260	260	260	210	170	140	590	210	260	390	320	210	260	390	260	210	170	110	390	210
waters center for systems thinking	170	Low				170	110	170	90	140	140	140	210	170	110	170	170	170	140	170	170	110	140	170	140	140	90	170	140	140	140	170	140	140	140	170	140	110	90	170	170	170	170	210	170	170	140	170	170	170	140	170	170
web designing free course with certificate	320	Low	26	0.032671	2.21	260	260	260	390	320	260	320	390	390	390	320	320	390	390	390	390	590	480	390	390	390	480	590	480	590	590	590	720	720	590	480	390	390	320	480	390	480	480	480	390	390	390	320	320	260	210	210	260
website system design	110	Low	9	0.281853	3.591653	170	140	170	170	140	170	170	170	210	140	170	170	170	170	170	140	140	210	210	210	170	170	140	170	210	210	170	170	170	140	170	170	170	140	140	110	170	140	110	110	110	90	140	110	90	140	90	140
what is agile project management	4400	Low	13	0.211323	4.370374	8100	6600	8100	6600	6600	8100	6600	8100	8100	5400	8100	6600	8100	6600	6600	6600	6600	6600	6600	8100	6600	5400	8100	8100	8100	8100	8100	6600	6600	6600	6600	6600	5400	4400	6600	5400	6600	5400	5400	4400	4400	3600	5400	4400	3600	2900	4400	4400
what is system engineering	5400	Low	2	0.519999	7.011586	5400	4400	4400	4400	4400	5400	5400	5400	5400	4400	5400	5400	5400	5400	5400	5400	4400	5400	6600	6600	5400	5400	6600	6600	5400	6600	6600	5400	5400	5400	8100	6600	5400	4400	6600	5400	5400	5400	5400	4400	5400	5400	6600	6600	5400	5400	6600	5400
what is systems thinking	6600	Low	3	0.075642	13.122822	6600	5400	5400	4400	4400	5400	6600	6600	6600	4400	5400	6600	6600	5400	5400	4400	4400	5400	6600	6600	6600	4400	6600	6600	6600	6600	6600	5400	5400	5400	6600	6600	5400	4400	6600	5400	6600	6600	6600	6600	6600	6600	8100	8100	8100	6600	8100	8100
wpi system dynamics	10	Low	10			10	10	10	10	10	10	20	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	20	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
